matchId,date,tournamentId,tournamentName,tournamentCategory,surface,tournamentCountry,roundId,roundDesc,draw,result,resultStatusDesc,winnerId,winnerEntry,winnerSeed,winnerName,winnerCountry,loserId,loserEntry,loserSeed,loserName,loserCountry
1020175101,1999-01-04T00:00:00,1020002869,"$10,000 San Antonio",W10,Hard,USA,1,1st Round,Q,6-1 6-4,,800203051,DA,,Michelle Dasso,USA,800213434,DA,,Julieta Guimaraes,BRA
1020175102,1999-01-04T00:00:00,1020002869,"$10,000 San Antonio",W10,Hard,USA,1,1st Round,Q,6-4 3-6 6-2,,800214861,DA,,Mandy McEntire,USA,800104877,DA,,Lauren Dean,USA
1020175104,1999-01-04T00:00:00,1020002869,"$10,000 San Antonio",W10,Hard,USA,1,1st Round,Q,,Walkover,800214876,DA,,Amanda Reyes,USA,Unknown,,,,
1020175105,1999-01-04T00:00:00,1020002869,"$10,000 San Antonio",W10,Hard,USA,2,2nd Round,Q,6-3 7-6,,800201884,DA,,Marjorie Gantman,USA,800207566,DA,1,Tiffany Dabek,USA
1020175106,1999-01-04T00:00:00,1020002869,"$10,000 San Antonio",W10,Hard,USA,2,2nd Round,Q,6-1 7-5,,800214887,DA,,Shilpa Joshi,USA,800214867,DA,,Julie Klauck,USA
1020175107,1999-01-04T00:00:00,1020002869,"$10,000 San Antonio",W10,Hard,USA,2,2nd Round,Q,6-0 6-0,,800199677,DA,,Rebekah Forney,USA,800214869,DA,,Jennifer McCaleb,USA
1020175108,1999-01-04T00:00:00,1020002869,"$10,000 San Antonio",W10,Hard,USA,2,2nd Round,Q,6-1 6-0,,800210875,DA,11,Katrina Nimmers,USA,800214882,DA,,Monica Martin,USA
1020175110,1999-01-04T00:00:00,1020002869,"$10,000 San Antonio",W10,Hard,USA,2,2nd Round,Q,6-1 6-2,,800185523,DA,9,Rebecca Jensen,USA,800214885,DA,,Joslynn Burkett,USA
1020175123,1999-01-04T00:00:00,1020002869,"$10,000 San Antonio",W10,Hard,USA,2,2nd Round,Q,6-1 1-6 6-1,,800214886,DA,,Leslie Stewart,USA,800214206,DA,,Becki Garcia,USA
1020175130,1999-01-04T00:00:00,1020002869,"$10,000 San Antonio",W10,Hard,USA,2,2nd Round,Q,6-0 6-0,,800180027,DA,,Angelica Gavaldon,MEX,800207029,DA,,Reina Alexander,GBR
